,Input,PID
197,-3.0,-1.5776338527799751
198,-3.0,-2.6159646024094894
199,-3.0,-1.0311592143551078
200,-3.0,-1.6023788917228623
201,-3.0,-1.8978699350379593
202,-3.0,-1.99548552810006
203,-3.0,-2.4098347404089417
204,-3.0,-3.1901558616189085
205,-3.0,-3.089973077766376
206,-3.0,-2.3228821304065232
207,-3.0,-3.790671845539981
208,-3.0,-3.861314008761069
209,-3.0,-2.2004277534678214
210,-3.0,-2.849889658266808
211,-3.0,-3.5172336542927165
212,-3.0,-2.6688456521032866
213,-3.0,-2.7916939874936872
214,-3.0,-2.3719250205813824
215,-3.0,-2.8956179568474782
216,-3.0,-2.518479404190477
217,-3.0,-2.9200409072420555
218,-3.0,-3.008518312200659
219,-3.0,-3.576910626392205
220,-3.0,-2.272402602873004
221,-3.0,-2.577898803812433
222,-3.0,-2.8268408569755654
223,-3.0,-2.2691498199261337
224,-3.0,-2.836287887021088
225,-3.0,-3.1606964051978803
226,-3.0,-2.5920879766259346
227,-3.0,-2.540148400350416
228,-3.0,-3.0333278096794216
229,-3.0,-2.8326273552291084
230,-3.0,-3.117886424361726
231,-3.0,-3.151412437366247
232,-3.0,-2.8121933441225715
233,-3.0,-2.639332889358573
234,-3.0,-2.9165570748814944
235,-3.0,-2.9395170659622822
236,-3.0,-2.985134171536623
237,-3.0,-2.7430684771054006
238,-3.0,-2.4570554850311095
239,-3.0,-2.8714583136456096
240,-3.0,-2.760189092594228
241,-3.0,-2.528841162102818
242,10.0,-0.7707445799928438
243,10.0,2.7180452635168058
244,10.0,7.877902804507332
245,10.0,11.805389001332363
246,10.0,13.923443610025137
247,10.0,14.730049967612095
248,10.0,15.009792632059442
249,10.0,12.450698238392787
250,10.0,11.018588328135952
251,10.0,8.845074463313466
252,10.0,7.371331651874782
253,10.0,6.041382047368157
254,10.0,6.542271406588601
255,10.0,5.418458740628945
256,10.0,6.415103478729735
257,10.0,7.3546395454348445
258,10.0,6.889466116808491
259,10.0,7.615260114270403
260,10.0,8.569455067581854
261,10.0,9.723852970415166
262,10.0,8.416529513336798
263,10.0,9.228450056748622
264,10.0,8.940163310875711
265,10.0,8.54030348052197
266,10.0,8.955858847296126
267,10.0,8.460777734904278
268,10.0,9.088773097958985
269,10.0,8.367804780234254
270,10.0,8.75483651974781
271,10.0,8.45911323751038
272,10.0,8.986810027340246
273,10.0,8.72485110370575
274,10.0,8.912302016810226
275,10.0,8.53445454895094
276,10.0,8.96156377694433
277,10.0,9.415799796851934
278,10.0,8.299683030730245
279,10.0,8.964774233528665
280,10.0,8.889603679943896
281,10.0,8.963874335245468
282,10.0,9.887387857033449
283,10.0,8.683026027301914
284,10.0,9.886022416088926
285,10.0,8.847983442891174
286,10.0,9.387196444174096
287,10.0,9.039379003636752
288,10.0,8.520965512174174
289,10.0,10.130643476093368
290,10.0,8.7130694270669
291,10.0,10.076178302409659
292,10.0,9.718278889193346
293,10.0,8.869772940084875
294,10.0,9.232665227335904
295,10.0,9.367324064828988
296,10.0,9.599400838301815
297,10.0,9.447078830866609
298,-3.0,7.104598387156193
299,-3.0,1.9678609187911704
300,-3.0,-2.331950282258061
301,-3.0,-7.0811584323491354
302,-3.0,-9.111512239356413
